study,est,hi,tmsdg
Miguel 2004,-0.76,0.1,1
Donnen 1998,-0.45,-0.12,1
Kruger 1996,-0.38,0.06,1
Awasthi 2000,-0.05,0.1,1
Dossa 2001a,0,0.52,1
Dossa 2001b,0,0.27,1
Ndibazza 2012,0.01,0.19,0
Gupta 1982,0.03,0.37,0
Liu 2015,0.03,0.31,0
Joseph 2015,0.04,0.14,0
Hall 2006,0.05,0.17,0
Gupta 1982,0.13,0.42,0
Watkins 1996,0.13,0.34,1
Alderman 2006,0.15,0.33,1
Willett 1979,0.16,0.33,0
Awasthi 2001,0.17,0.3,0
Wiria 2013,0.19,1.06,0
Sur 2005,0.29,0.47,0
Gateff 1972,0.35,0.6,0
Ostwald 1984,0.7,1.58,0
Stephenson 1993,0.9,1.26,0
Awasthi 1995,0.98,1.27,1